"show_id","actor_id"
"81145628","1"
"81145628","2"
"81145628","3"
"81145628","4"
"81145628","5"
"81145628","6"
"81145628","7"
"81145628","8"
"81145628","9"
"81145628","10"
"80117401","11"
"70234439","12"
"70234439","13"
"70234439","14"
"70234439","15"
"70234439","16"
"70234439","17"
"70234439","18"
"70234439","19"
"70234439","20"
"70234439","21"
"70234439","22"
"70234439","23"
"80058654","23"
"80058654","24"
"80058654","25"
"80058654","26"
"80058654","27"
"80058654","28"
"80058654","29"
"80058654","12"
"80125979","30"
"80125979","31"
"80125979","32"
"80125979","33"
"80125979","34"
"80125979","35"
"80125979","36"
"80125979","37"
"80125979","38"
"80125979","39"
"80125979","40"
"80125979","41"
"80163890","42"
"80163890","43"
"80163890","44"
"80163890","45"
"80163890","46"
"70304989","47"
"70304989","48"
"70304989","49"
"70304989","50"
"70304989","51"
"70304989","52"
"70304989","53"
"70304989","54"
"70304989","55"
"80164077","56"
"70304990","57"
"70304990","58"
"70304990","59"
"70304990","60"
"70304990","61"
"70304990","62"
"70304990","63"
"70304990","64"
"70304990","65"
"70304990","66"
"70304990","67"
"80169755","68"
"70299204","69"
"70299204","70"
"70299204","71"
"70299204","72"
"70299204","73"
"70299204","74"
"70299204","75"
"70299204","76"
"80182480","77"
"80182480","78"
"80182480","79"
"80182483","77"
"80182483","78"
"80182483","79"
"80182483","80"
"80182596","77"
"80182596","78"
"80182596","80"
"80182482","77"
"80182482","78"
"80182482","79"
"80182597","81"
"80182597","78"
"80182597","80"
"80182481","77"
"80182481","78"
"80182481","79"
"80182621","77"
"80182621","78"
"80182621","79"
"80057969","82"
"80057969","83"
"80057969","84"
"80057969","85"
"80057969","86"
"80057969","87"
"80057969","88"
"80057969","89"
"80057969","90"
"80057969","91"
"80060297","92"
"80060297","93"
"80060297","94"
"80060297","95"
"80060297","96"
"80060297","97"
"80046728","98"
"80046728","99"
"80046728","100"
"80046728","101"
"80046728","102"
"80046728","103"
"80046728","104"
"80046728","105"
"70304988","106"
"70304988","69"
"70304988","107"
"70304988","108"
"70304988","109"
"70304988","110"
"70304988","111"
"70304988","112"
"70304988","113"
"70304988","114"
"80057700","115"
"80057700","116"
"80057700","117"
"80057700","118"
"80057700","119"
"80057700","120"
"80057700","121"
"80045922","122"
