"pais_nombre"
"United States"
"India"
"South Korea"
"China"
"United Kingdom"
"Spain"
"Bulgaria"
"Canada"
"Chile"
"Denmark"
"Sweden"
"Netherlands"
"Belgium"
"France"
"Uruguay"
"Thailand"
"Pakistan"
"Brazil"
"Italy"
"Indonesia"
"Ireland"
"Turkey"
"Hong Kong"
"Morocco"
"Mexico"
"Vietnam"
"Argentina"
"Nigeria"
"Japan"
"Germany"
"Greece"
"Norway"
"Switzerland"
"United Arab Emirates"
"Lebanon"
"Cambodia"
"Russia"
"Poland"
"Israel"
"Australia"
"Portugal"
"Egypt"
"Taiwan"
"Austria"
"Czech Republic"
"Senegal"
"Soviet Union"
"Peru"
"Ukraine"
"Malaysia"
"South Africa"
"Nepal"
"Philippines"
"Serbia"
"Colombia"
"Singapore"
"Luxembourg"
"West Germany"
"Cayman Islands"
"New Zealand"
"Venezuela"
"Jordan"
"Saudi Arabia"
"Malta"
"Qatar"
"Iran"
"Finland"
"Iraq"
"Liechtenstein"
"Albania"
"Slovakia"
"Samoa"
"Ghana"
"1944"
"Botswana"
"Hungary"
"Guatemala"
"Malawi"
"Paraguay"
"Somalia"
"Kenya"
"Sudan"
"Sri Lanka"
"Dominican Republic"
"Iceland"
"Panama"
"Romania"
"Latvia"
"Uganda"
"Slovenia"
"Croatia"
"Montenegro"
"Bangladesh"
"Vatican City"
"East Germany"
"Afghanistan"
"Georgia"
"Namibia"
"Zimbabwe"
"Cuba"
"Mauritius"
"Nicaragua"
"Kazakhstan"
"Armenia"
"Bermuda"
"Ecuador"
"Syria"
"Kuwait"
"Cyprus"
